,precision,recall,f1-score,support
GMC SIERRA 2500HD,0.667,0.564,0.611,39.0
HONDA ACCORD,0.917,0.324,0.478,34.0
FORD EXPEDITION,0.957,0.846,0.898,26.0
GMC SIERRA 1500,0.593,0.516,0.552,31.0
JAGUAR XE,0.75,0.938,0.833,16.0
LINCOLN NAUTILUS,1.0,0.833,0.909,12.0
VOLVO S60,0.7,0.538,0.609,26.0
AUDI Q5,0.8,0.842,0.821,19.0
BUICK LACROSSE,0.737,0.609,0.667,23.0
INFINITI Q50,0.727,0.941,0.821,17.0
SUBARU IMPREZA,0.619,0.812,0.703,16.0
CHRYSLER PACIFICA,0.85,0.944,0.895,18.0
FORD RANGER,0.966,0.824,0.889,34.0
ALFA ROMEO 4C,0.875,1.0,0.933,7.0
CHRYSLER 300,0.81,0.85,0.829,20.0
FIAT 500,0.967,0.879,0.921,33.0
KIA K900,0.571,1.0,0.727,4.0
BUICK REGAL,0.8,0.842,0.821,19.0
BMW 4-SERIES,0.615,0.727,0.667,22.0
TESLA MODEL X,0.667,1.0,0.8,2.0
DODGE CHARGER,0.815,0.846,0.83,26.0
CHEVROLET TRAILBLAZER,0.941,1.0,0.97,16.0
LAMBORGHINI HURACAN,0.952,1.0,0.976,20.0
TOYOTA SEQUOIA,0.926,0.893,0.909,28.0
GMC ACADIA,0.955,0.913,0.933,23.0
NISSAN ALTIMA,0.842,0.727,0.78,22.0
KIA NIRO,0.667,1.0,0.8,8.0
FORD MUSTANG,0.75,0.414,0.533,29.0
ASTON MARTIN VANTAGE,0.8,0.842,0.821,19.0
LEXUS ES,0.68,0.85,0.756,20.0
ACURA MDX,0.909,0.741,0.816,27.0
BUICK ENCLAVE,0.688,1.0,0.815,11.0
BENTLEY MULSANNE,0.786,0.917,0.846,12.0
TOYOTA 4RUNNER,0.85,1.0,0.919,17.0
HONDA ODYSSEY,0.895,0.85,0.872,20.0
MINI COOPER,0.919,0.872,0.895,39.0
FORD TRANSIT CONNECT WAGON,1.0,1.0,1.0,14.0
NISSAN TITAN,0.812,0.765,0.788,17.0
AUDI A7,0.5,0.8,0.615,15.0
KIA SPORTAGE,0.857,0.857,0.857,14.0
FORD FLEX,0.947,0.857,0.9,21.0
FORD EXPLORER,0.88,0.917,0.898,24.0
RAM 1500,0.857,0.828,0.842,29.0
NISSAN ROGUE,0.824,0.778,0.8,18.0
BMW 7-SERIES,0.773,0.872,0.819,39.0
BMW X5,0.571,0.667,0.615,18.0
FERRARI 488 GTB,0.9,1.0,0.947,9.0
CHEVROLET SUBURBAN,0.889,0.923,0.906,26.0
NISSAN VERSA,1.0,0.571,0.727,35.0
BMW X6,0.875,0.778,0.824,27.0
NISSAN GT-R,0.692,0.857,0.766,21.0
MASERATI GRANTURISMO,0.722,0.684,0.703,19.0
AUDI A4,0.767,0.885,0.821,26.0
CADILLAC ATS,0.7,0.778,0.737,18.0
CHEVROLET SILVERADO 1500,0.652,0.429,0.517,35.0
PORSCHE MACAN,0.857,1.0,0.923,18.0
VOLVO XC60,0.647,0.786,0.71,14.0
GMC YUKON,0.938,1.0,0.968,30.0
NISSAN LEAF,0.686,0.75,0.716,32.0
PORSCHE PANAMERA,0.611,0.688,0.647,16.0
TOYOTA RAV4,0.842,0.615,0.711,26.0
